filename,category,model,completeness,clarity,conciseness,actionability,safety_focus,overall_score,notes
SlayTheSpire_Defect_vs_Sentry_ZapPlus.png,gaming,Gemini,4,4,5,4,3,4.0,
SlayTheSpire_Defect_vs_Sentry_ZapPlus.png,gaming,Claude,5,4,3,4,4,4.0,
SlayTheSpire_Silent_vs_Exploders_Act2_Combat.png,gaming,GPT-4V,4,4,3,3,3,3.4,
SlayTheSpire_Silent_vs_Exploders_Act2_Combat.png,gaming,Gemini,5,4,4,4,4,4.2,
SlayTheSpire_Silent_vs_Exploders_Act2_Combat.png,gaming,Claude,5,4,3,3,3,3.6,
SlayTheSpire_Watcher_vs_Cultist_LargeWolf_Act3.png,gaming,GPT-4V,4,5,3,3,3,3.6,
SlayTheSpire_Watcher_vs_Cultist_LargeWolf_Act3.png,gaming,Gemini,2,5,5,4,3,3.8,
SlayTheSpire_Watcher_vs_Cultist_LargeWolf_Act3.png,gaming,Claude,5,4,3,4,3,3.9,
StardewValley_StardewValleyFair_Festival.png,gaming,GPT-4V,3,4,3,4,3,3.5,
StardewValley_StardewValleyFair_Festival.png,gaming,Gemini,3,4,4,5,4,4.0,
StardewValley_StardewValleyFair_Festival.png,gaming,Claude,4,5,3,4,4,4.0,
StardewValley_TownSquare_VillageCenter.png,gaming,GPT-4V,4,5,5,4,3,4.2,
StardewValley_TownSquare_VillageCenter.png,gaming,Gemini,3,4,5,5,4,4.2,
StardewValley_TownSquare_VillageCenter.png,gaming,Claude,4,4,3,4,3,3.6,
StardewValley_Winter_IceFishingContest.png,gaming,GPT-4V,4,5,4,4,3,4.0,
StardewValley_Winter_IceFishingContest.png,gaming,Gemini,2,4,5,3,3,3.3,
StardewValley_Winter_IceFishingContest.png,gaming,Claude,4,4,3,3,3,3.4,
four_in_a_row-opp_move_1.png,gaming,GPT-4V,1,4,5,4,3,3.4,
four_in_a_row-opp_move_1.png,gaming,Gemini,1,4,5,3,3,3.1,
four_in_a_row-opp_move_1.png,gaming,Claude,1,4,5,4,3,3.4,
four_in_a_row-opp_move_4.png,gaming,GPT-4V,1,5,5,3,3,3.3,
four_in_a_row-opp_move_4.png,gaming,Gemini,2,4,4,4,4,3.6,
four_in_a_row-opp_move_4.png,gaming,Claude,1,5,4,2,3,2.9,
four_in_a_row-opp_won.png,gaming,GPT-4V,1,5,5,4,3,3.6,
four_in_a_row-opp_won.png,gaming,Gemini,1,4,5,3,3,3.1,
four_in_a_row-opp_won.png,gaming,Claude,1,5,5,3,3,3.3,
tic_tac_toe-opp_move_1.png,gaming,GPT-4V,1,4,2,3,3,2.6,
tic_tac_toe-opp_move_1.png,gaming,Gemini,2,4,2,4,3,3.1,
tic_tac_toe-opp_move_1.png,gaming,Claude,2,4,5,3,3,3.3,
tic_tac_toe-opp_move_2.png,gaming,GPT-4V,1,4,4,2,3,2.7,
tic_tac_toe-opp_move_2.png,gaming,Gemini,1,4,4,3,4,3.2,
tic_tac_toe-opp_move_2.png,gaming,Claude,1,4,5,3,3,3.1,
tic_tac_toe-user_won.png,gaming,GPT-4V,1,4,5,3,3,3.1,
tic_tac_toe-user_won.png,gaming,Gemini,1,4,4,3,3,3.0,
tic_tac_toe-user_won.png,gaming,Claude,2,4,5,3,3,3.3,
INDOOR_Navigation_AccessibilityRamp_EntryDoor_BrickFacade.jpg,indoor,GPT-4V,4,5,5,2,3,3.6,
INDOOR_Navigation_AccessibilityRamp_EntryDoor_BrickFacade.jpg,indoor,Gemini,1,4,4,4,2,3.0,
INDOOR_Navigation_AccessibilityRamp_EntryDoor_BrickFacade.jpg,indoor,Claude,3,4,3,4,3,3.5,
INDOOR_Navigation_ArchwayEntrance_Staircase_Wayfinding.jpg,indoor,GPT-4V,5,5,5,3,5,4.5,
INDOOR_Navigation_ArchwayEntrance_Staircase_Wayfinding.jpg,indoor,Gemini,5,4,5,5,4,4.6,
INDOOR_Navigation_ArchwayEntrance_Staircase_Wayfinding.jpg,indoor,Claude,5,4,3,5,4,4.3,
INDOOR_Navigation_BlindManWithCane_TactileSignage_Hallway.jpg,indoor,GPT-4V,5,5,5,4,4,4.5,
INDOOR_Navigation_BlindManWithCane_TactileSignage_Hallway.jpg,indoor,Gemini,4,4,5,5,3,4.2,
INDOOR_Navigation_BlindManWithCane_TactileSignage_Hallway.jpg,indoor,Claude,5,5,4,5,4,4.7,
INDOOR_Navigation_CurvingStaircase_FoyerAccess_HardwoodFloor.jpg,indoor,GPT-4V,3,5,5,4,2,3.8,
INDOOR_Navigation_CurvingStaircase_FoyerAccess_HardwoodFloor.jpg,indoor,Gemini,4,4,5,4,2,3.8,
INDOOR_Navigation_CurvingStaircase_FoyerAccess_HardwoodFloor.jpg,indoor,Claude,4,4,4,3,4,3.8,
INDOOR_Navigation_ElevatorLobby_LongHallway_MarbleFlooring.jpg,indoor,GPT-4V,3,4,5,3,3,3.5,
INDOOR_Navigation_ElevatorLobby_LongHallway_MarbleFlooring.jpg,indoor,Gemini,4,4,4,4,2,3.6,
INDOOR_Navigation_ElevatorLobby_LongHallway_MarbleFlooring.jpg,indoor,Claude,4,4,3,5,4,4.1,
INDOOR_Navigation_LivingRoom_HallwayEntrance_MAINSTSign.jpg,indoor,GPT-4V,4,4,2,4,2,3.3,
INDOOR_Navigation_LivingRoom_HallwayEntrance_MAINSTSign.jpg,indoor,Gemini,5,4,5,5,4,4.6,
INDOOR_Navigation_LivingRoom_HallwayEntrance_MAINSTSign.jpg,indoor,Claude,4,4,3,5,2,3.7,
INDOOR_Navigation_LongHallway_AccessPoints_ModernDesign.jpg,indoor,GPT-4V,4,5,5,5,3,4.4,
INDOOR_Navigation_LongHallway_AccessPoints_ModernDesign.jpg,indoor,Gemini,4,4,5,5,3,4.2,
INDOOR_Navigation_LongHallway_AccessPoints_ModernDesign.jpg,indoor,Claude,4,3,3,5,4,3.9,
INDOOR_Navigation_OfficeLobby_HRSignage_GlassWalledHallway.jpg,indoor,GPT-4V,4,5,5,5,3,4.4,
INDOOR_Navigation_OfficeLobby_HRSignage_GlassWalledHallway.jpg,indoor,Gemini,4,5,5,5,2,4.2,
INDOOR_Navigation_OfficeLobby_HRSignage_GlassWalledHallway.jpg,indoor,Claude,3,4,3,5,2,3.5,
INDOOR_Navigation_SensoryPath_HospitalClinic_FloorDecals.jpg,indoor,GPT-4V,4,5,4,4,2,3.8,
INDOOR_Navigation_SensoryPath_HospitalClinic_FloorDecals.jpg,indoor,Gemini,5,4,2,5,3,4.0,
INDOOR_Navigation_SensoryPath_HospitalClinic_FloorDecals.jpg,indoor,Claude,4,4,2,5,3,3.8,
INDOOR_Navigation_SlatPartition_GlassDoors_EntranceExit.jpg,indoor,GPT-4V,4,4,5,4,3,4.0,
INDOOR_Navigation_SlatPartition_GlassDoors_EntranceExit.jpg,indoor,Gemini,4,4,4,5,3,4.1,
INDOOR_Navigation_SlatPartition_GlassDoors_EntranceExit.jpg,indoor,Claude,5,4,3,5,3,4.1,
OUTDOOR_EmptyParkingLot_Night_BlueStreetlights_HighContrast.png,outdoor,GPT-4V,2,5,5,4,2,3.5,
OUTDOOR_EmptyParkingLot_Night_BlueStreetlights_HighContrast.png,outdoor,Gemini,4,4,5,5,3,4.2,
OUTDOOR_EmptyParkingLot_Night_BlueStreetlights_HighContrast.png,outdoor,Claude,1,4,5,5,1,3.2,
OUTDOOR_Navigation_ResidentialEntrance_StairsAndRailing_HouseNumber.png,outdoor,GPT-4V,4,5,5,3,4,4.1,
OUTDOOR_Navigation_ResidentialEntrance_StairsAndRailing_HouseNumber.png,outdoor,Gemini,4,4,5,5,3,4.2,
OUTDOOR_Navigation_ResidentialEntrance_StairsAndRailing_HouseNumber.png,outdoor,Claude,4,4,2,5,3,3.8,
OUTDOOR_Navigation_StreetsideBikeRack_TrafficBarrier_UrbanStreet.png,outdoor,GPT-4V,2,5,5,3,2,3.3,
OUTDOOR_Navigation_StreetsideBikeRack_TrafficBarrier_UrbanStreet.png,outdoor,Gemini,2,4,5,5,2,3.6,
OUTDOOR_Navigation_StreetsideBikeRack_TrafficBarrier_UrbanStreet.png,outdoor,Claude,1,5,4,5,1,3.2,
OUTDOOR_CityCrosswalk_OverheadView_CrowdCrossing_Taxis.jpg,outdoor,GPT-4V,1,4,5,2,3,2.9,
OUTDOOR_CityCrosswalk_OverheadView_CrowdCrossing_Taxis.jpg,outdoor,Gemini,2,4,5,4,5,4.0,
OUTDOOR_CityCrosswalk_OverheadView_CrowdCrossing_Taxis.jpg,outdoor,Claude,2,4,3,5,5,3.9,
OUTDOOR_CrowdedStreetMarket_ClothingVendors_UrbanSetting_Daylight.jpg,outdoor,GPT-4V,1,4,5,2,2,2.6,
OUTDOOR_CrowdedStreetMarket_ClothingVendors_UrbanSetting_Daylight.jpg,outdoor,Gemini,3,4,4,5,2,3.6,
OUTDOOR_CrowdedStreetMarket_ClothingVendors_UrbanSetting_Daylight.jpg,outdoor,Claude,2,4,4,4,2,3.2,
OUTDOOR_Navigation_ComplexIntersection_BikeLane_PedestrianCrossing.jpg,outdoor,GPT-4V,2,5,5,3,3,3.5,
OUTDOOR_Navigation_ComplexIntersection_BikeLane_PedestrianCrossing.jpg,outdoor,Gemini,3,5,1,5,4,3.8,
OUTDOOR_Navigation_ComplexIntersection_BikeLane_PedestrianCrossing.jpg,outdoor,Claude,2,5,3,5,2,3.5,
OUTDOOR_Navigation_ConcreteSidewalk_UtilityPoles_ResidentialStreet.jpg,outdoor,GPT-4V,4,4,5,5,2,4.0,
OUTDOOR_Navigation_ConcreteSidewalk_UtilityPoles_ResidentialStreet.jpg,outdoor,Gemini,3,4,3,5,1,3.3,
OUTDOOR_Navigation_ConcreteSidewalk_UtilityPoles_ResidentialStreet.jpg,outdoor,Claude,2,5,3,5,2,3.5,
OUTDOOR_Navigation_ModularAccessibilityRamp_Stairs_CommercialBuilding.jpg,outdoor,GPT-4V,4,5,5,3,3,3.9,
OUTDOOR_Navigation_ModularAccessibilityRamp_Stairs_CommercialBuilding.jpg,outdoor,Gemini,4,4,5,5,3,4.2,
OUTDOOR_Navigation_ModularAccessibilityRamp_Stairs_CommercialBuilding.jpg,outdoor,Claude,1,4,5,3,2,2.9,
OUTDOOR_Navigation_PedestrianCrosswalk_SuburbanStreet_PersonCrossing.jpg,outdoor,GPT-4V,4,4,5,5,5,4.6,
OUTDOOR_Navigation_PedestrianCrosswalk_SuburbanStreet_PersonCrossing.jpg,outdoor,Gemini,4,4,5,5,4,4.4,
OUTDOOR_Navigation_PedestrianCrosswalk_SuburbanStreet_PersonCrossing.jpg,outdoor,Claude,2,4,3,5,5,3.9,
OUTDOOR_Navigation_StonePatio_CurvedStairs_MultiLevelAccess.jpg,outdoor,GPT-4V,4,5,4,4,4,4.2,
OUTDOOR_Navigation_StonePatio_CurvedStairs_MultiLevelAccess.jpg,outdoor,Gemini,3,4,5,5,3,4.0,
OUTDOOR_Navigation_StonePatio_CurvedStairs_MultiLevelAccess.jpg,outdoor,Claude,4,4,3,5,4,4.1,
TEXT_AccessRules_PoolGateSign_RegulatoryText_ApartmentComplex.jpg,text,GPT-4V,5,5,5,4,4,4.5,
TEXT_AccessRules_PoolGateSign_RegulatoryText_ApartmentComplex.jpg,text,Gemini,5,5,5,5,4,4.8,
TEXT_AccessRules_PoolGateSign_RegulatoryText_ApartmentComplex.jpg,text,Claude,5,4,3,5,4,4.3,
TEXT_CarDashboard_InstrumentCluster_WarningLights_ActiveDisplay.jpg,text,GPT-4V,5,4,5,4,4,4.3,
TEXT_CarDashboard_InstrumentCluster_WarningLights_ActiveDisplay.jpg,text,Gemini,5,4,4,3,4,4.0,
TEXT_CarDashboard_InstrumentCluster_WarningLights_ActiveDisplay.jpg,text,Claude,5,4,4,5,4,4.5,
TEXT_ChalkboardMenu_HandwrittenCoffeePrices_CafeDrinks.jpg,text,GPT-4V,5,4,4,2,3,3.5,
TEXT_ChalkboardMenu_HandwrittenCoffeePrices_CafeDrinks.jpg,text,Gemini,4,4,3,4,4,3.8,
TEXT_ChalkboardMenu_HandwrittenCoffeePrices_CafeDrinks.jpg,text,Claude,4,4,5,2,3,3.5,
TEXT_MenuBoard_RestaurantPricing_MultipleSections_MountedSign.jpg,text,GPT-4V,5,4,3,2,3,3.4,
TEXT_MenuBoard_RestaurantPricing_MultipleSections_MountedSign.jpg,text,Gemini,5,4,2,3,3,3.5,
TEXT_MenuBoard_RestaurantPricing_MultipleSections_MountedSign.jpg,text,Claude,5,5,5,3,3,4.1,
TEXT_Navigation_SupermarketEntrance_KrogerFacade_WayfindingSign.jpg,text,GPT-4V,5,5,5,3,3,4.1,
TEXT_Navigation_SupermarketEntrance_KrogerFacade_WayfindingSign.jpg,text,Gemini,4,4,5,4,3,4.0,
TEXT_Navigation_SupermarketEntrance_KrogerFacade_WayfindingSign.jpg,text,Claude,5,4,5,4,3,4.2,
TEXT_OpenBook_PrintedParagraphs_YellowedPaper_SpineCurvature.jpg,text,GPT-4V,5,5,5,4,3,4.3,
TEXT_OpenBook_PrintedParagraphs_YellowedPaper_SpineCurvature.jpg,text,Gemini,5,4,3,4,3,3.9,
