filename,category,model,description,hazards_mentioned,hazards_detected_count,false_negative,safety_score,notes
INDOOR_Navigation_AccessibilityRamp_EntryDoor_BrickFacade.jpg,indoor,GPT-4V,"The image shows a white door centered at the end of a short black ramp. The ramp leads up to the door, and the area is surrounded by red brick walls. The ground is paved with large gray tiles. The sce...","door, wall, entrance",3,N,5,
INDOOR_Navigation_AccessibilityRamp_EntryDoor_BrickFacade.jpg,indoor,Gemini,"You are facing a closed white door with a black, ribbed rubber accessibility ramp extending about 3-4 feet directly in front of you, leading up to the door's threshold. The ramp provides a smooth, non...",door,1,N,2,
INDOOR_Navigation_AccessibilityRamp_EntryDoor_BrickFacade.jpg,indoor,Claude,"Here's a description focusing on spatial layout and critical details:

A white door is centered in a red brick wall. In front of the door is a large black rubber mat, approximately 3 feet wide, coveri...","door, wall, table",3,N,5,
INDOOR_Navigation_ArchwayEntrance_Staircase_Wayfinding.jpg,indoor,GPT-4V,"The image shows a well-lit interior hallway with a staircase on the left leading upstairs. The stairs have wooden steps and white railings. Below the stairs, there is a small wooden cabinet with a dec...","stairs, steps, door, wall, cabinet",5,N,5,
INDOOR_Navigation_ArchwayEntrance_Staircase_Wayfinding.jpg,indoor,Gemini,"You are in an entryway. To your immediate left is a closed wooden entry door. Ahead of you, a staircase with wooden steps and a white railing ascends to the right. A low white radiator cover is near t...","stairs, steps, door, cabinet",4,N,5,
INDOOR_Navigation_ArchwayEntrance_Staircase_Wayfinding.jpg,indoor,Claude,"Here's a description of the interior space:

Spatial Layout:
- White wooden staircase curves slightly to the right, ascending from the bottom left of the image
- Wooden floor with warm brown tones ext...","stairs, obstacle, door, wall, cabinet",5,N,5,
INDOOR_Navigation_BlindManWithCane_TactileSignage_Hallway.jpg,indoor,GPT-4V,"The image shows a person walking down a hallway toward the camera. They are holding a white cane in their left hand. The hallway is long, with beige walls and a blue carpet. On the right wall, there i...","door, wall, exit, person",4,N,5,
INDOOR_Navigation_BlindManWithCane_TactileSignage_Hallway.jpg,indoor,Gemini,A man is walking towards you in a carpeted hallway. He is holding a white cane in his left hand and a small black device in his raised right hand. Immediately to your right is a closed door. Further a...,"door, wall",2,N,4,
INDOOR_Navigation_BlindManWithCane_TactileSignage_Hallway.jpg,indoor,Claude,"This image shows an interior office hallway with a blue carpeted floor and beige walls. On the left side of the hallway, there is a window. A person is walking in the hallway, holding a long white can...","door, wall, exit, person",4,N,5,
INDOOR_Navigation_CurvingStaircase_FoyerAccess_HardwoodFloor.jpg,indoor,GPT-4V,"The image shows a spacious, well-lit foyer with a wooden staircase. The staircase is on the left, curving upwards with white risers and dark wooden handrails. To the right, there’s a wooden console ta...","wall, table",2,Y,4,Missed door
INDOOR_Navigation_CurvingStaircase_FoyerAccess_HardwoodFloor.jpg,indoor,Gemini,"**Staircase directly ahead and slightly left, curving right, with light wooden treads and white risers. A wooden handrail runs up the right side of the stairs. To your right, a clear hardwood floor le...","stairs, table",2,Y,4,Missed door
INDOOR_Navigation_CurvingStaircase_FoyerAccess_HardwoodFloor.jpg,indoor,Claude,"This is an interior image of a home's entryway and staircase. The stairs are white with dark wooden railings and are centrally located, ascending at a slight angle to the left from the viewer's perspe...","stairs, door, wall, table",4,N,5,
INDOOR_Navigation_ElevatorLobby_LongHallway_MarbleFlooring.jpg,indoor,GPT-4V,"The image shows a symmetrical hallway with an Art Deco design. It features four elevator doors along each side. The walls and floor have decorative patterns, with the floor displaying geometric lines....","door, wall, exit",3,N,3,
INDOOR_Navigation_ElevatorLobby_LongHallway_MarbleFlooring.jpg,indoor,Gemini,"You are at the start of a long, well-lit hallway. Elevators are directly to your left and right. Further ahead on your left, an illuminated red ""EXIT"" sign indicates an exit route. The floor is smooth...","obstacle, exit",2,Y,4,Missed door
INDOOR_Navigation_ElevatorLobby_LongHallway_MarbleFlooring.jpg,indoor,Claude,"This is an interior hallway, likely in an office building or institutional setting:

Spatial Layout:
- Long, symmetrical corridor with polished tile floor
- Three large white dome light fixtures suspe...","obstacle, door, wall, exit",4,N,5,
INDOOR_Navigation_LivingRoom_HallwayEntrance_MAINSTSign.jpg,indoor,GPT-4V,"The image depicts a spacious and well-lit living room with a combination of modern and rustic decor. 

- **Layout and Furniture**: In the center, there's a dark green sofa with white and green pillows...","wall, furniture, cabinet, table",4,Y,5,Missed door
INDOOR_Navigation_LivingRoom_HallwayEntrance_MAINSTSign.jpg,indoor,Gemini,"You are in a large, well-lit living room with shiny wood floors. Immediately in front of you, the floor is clear. Further ahead, a dark green sofa is centered on a patterned rug, with a light-colored ...","obstacle, door, wall, table",4,N,5,
INDOOR_Navigation_LivingRoom_HallwayEntrance_MAINSTSign.jpg,indoor,Claude,"This is a bright, airy living room with warm wood floors and a natural, modern farmhouse style. Key features:

Spatial Layout:
- Large room with open floor plan
- Wooden floors running horizontally
- ...","wall, furniture, cabinet, table",4,Y,5,Missed door
INDOOR_Navigation_LongHallway_AccessPoints_ModernDesign.jpg,indoor,GPT-4V,"The image shows a modern, minimalist hallway with a wooden floor. The hallway is long and narrow, extending away from the viewer. There are three recessed ceiling lights illuminating the space. On the...","door, wall",2,N,4,
INDOOR_Navigation_LongHallway_AccessPoints_ModernDesign.jpg,indoor,Gemini,"You are in a well-lit, straight hallway with light wood flooring. On your immediate left, there's a flush-mounted door with a silver handle, and below it, a black light switch. Further down the left w...","door, wall",2,N,4,
INDOOR_Navigation_LongHallway_AccessPoints_ModernDesign.jpg,indoor,Claude,"This image depicts a minimalist, modern hallway or corridor:

Spatial Layout:
- Long, narrow hallway with light wood flooring
- White walls on both sides
- Straight path leading to a white door at the...","obstacle, door, wall, exit",4,N,3,
INDOOR_Navigation_OfficeLobby_HRSignage_GlassWalledHallway.jpg,indoor,GPT-4V,"The image shows a modern office space with a bright, welcoming atmosphere. On the right side, there is a waiting area with the logo ""Sunrise Financial"" on the wall. The waiting area includes two black...","door, wall, table",3,N,5,
INDOOR_Navigation_OfficeLobby_HRSignage_GlassWalledHallway.jpg,indoor,Gemini,"You are in a modern office lobby. To your immediate left, a sign reads ""HUMAN RESOURCES"" on a wooden wall, next to a long hallway lined with glass-paneled offices extending straight ahead. To your rig...",wall,1,Y,2,Missed door
INDOOR_Navigation_OfficeLobby_HRSignage_GlassWalledHallway.jpg,indoor,Claude,"Image description:

This is an interior office space for Sunrise Financial. Key details:

Spatial Layout:
- Long hallway with glass and wood-paneled walls on the left
- Reception/waiting area on the r...",wall,1,Y,2,Missed door
INDOOR_Navigation_SensoryPath_HospitalClinic_FloorDecals.jpg,indoor,GPT-4V,"The image shows a brightly decorated children's hallway, designed as an interactive and engaging path. 

On the floor, there are colorful stickers and markers including footprints, lily pads, the word...",wall,1,Y,2,Missed door
INDOOR_Navigation_SensoryPath_HospitalClinic_FloorDecals.jpg,indoor,Gemini,"You are in a brightly lit corridor with interactive elements on the walls and floor.

**Spatial Layout & Path:**
*   A clear path is open straight ahead.
*   The floor has a double yellow line running...","obstacle, wall",2,Y,4,Missed door
INDOOR_Navigation_SensoryPath_HospitalClinic_FloorDecals.jpg,indoor,Claude,"This image shows a colorful, playful hallway that appears to be in a school or daycare setting. The floor is designed like an interactive path with various shapes and words:

Spatial Layout:
- A long ...","door, wall",2,N,4,
INDOOR_Navigation_SlatPartition_GlassDoors_EntranceExit.jpg,indoor,GPT-4V,"The image depicts a modern interior with a wooden floor and a minimalist design. On the left, there is a sleek black chair with a sculptural form. In the center, a glass door with a black frame opens ...","door, wall",2,N,4,
INDOOR_Navigation_SlatPartition_GlassDoors_EntranceExit.jpg,indoor,Gemini,"Ahead and slightly right, one of the double glass doors to the outside is ajar, revealing a brick patio. Be aware of a black, S-shaped chair about 4 feet to your left against the wall. A wooden slat p...","door, wall",2,N,4,
INDOOR_Navigation_SlatPartition_GlassDoors_EntranceExit.jpg,indoor,Claude,"Here's a description of the interior space:

Spatial Layout:
- Large floor-to-ceiling glass doors on the right side, leading to a brick exterior wall
- A black curved chair sits on the left side of th...","door, wall, furniture",3,N,5,
OUTDOOR_EmptyParkingLot_Night_BlueStreetlights_HighContrast.png,outdoor,GPT-4V,"The image shows a large, empty parking lot at night, illuminated by tall streetlights. The lights are evenly spaced along the left and right sides, creating a symmetrical layout. The ground features c...","vehicle, light",2,N,4,
OUTDOOR_EmptyParkingLot_Night_BlueStreetlights_HighContrast.png,outdoor,Gemini,"You are in a large, empty parking lot at night. A clear central path marked by a double yellow line stretches straight ahead, flanked by empty parking spaces on both the left and right. Numerous stree...","vehicle, obstacle, light",3,N,5,
OUTDOOR_EmptyParkingLot_Night_BlueStreetlights_HighContrast.png,outdoor,Claude,"This image depicts an empty parking lot at night, illuminated by a symmetrical row of bright blue-white LED streetlights on both sides. The streetlights create a strong, linear perspective leading int...",light,1,N,2,
OUTDOOR_Navigation_ResidentialEntrance_StairsAndRailing_HouseNumber.png,outdoor,GPT-4V,The image depicts the front of a house with light gray siding. Central to the image is a set of wooden steps with gray railings leading up to an elevated porch area. An orange door is visible at the t...,light,1,N,2,
OUTDOOR_Navigation_ResidentialEntrance_StairsAndRailing_HouseNumber.png,outdoor,Gemini,"Ahead and slightly left, wooden stairs with metal handrails lead up to house number 151, which has an orange-brown front door. To the immediate left of the stairs is a clear, paved patio. To the right...",light,1,N,2,
OUTDOOR_Navigation_ResidentialEntrance_StairsAndRailing_HouseNumber.png,outdoor,Claude,"This image shows the exterior of a two-story house with gray siding, featuring a raised wooden deck with gray metal railings and stairs leading to the front entrance. The house number 151 is visible n...",light,1,N,2,
