filename,category,model,prompt_type,completeness,clarity,conciseness,actionability,safety_focus,overall_score,notes
SlayTheSpire_Defect_vs_Sentry_ZapPlus.png,gaming,GPT-4V-CoT,CoT,5,4,1,5,4,4.0,
SlayTheSpire_Silent_vs_Exploders_Act2_Combat.png,gaming,GPT-4V-CoT,CoT,5,4,1,5,4,4.0,
SlayTheSpire_Watcher_vs_Cultist_LargeWolf_Act3.png,gaming,GPT-4V-CoT,CoT,5,4,2,5,4,4.2,
StardewValley_StardewValleyFair_Festival.png,gaming,GPT-4V-CoT,CoT,4,4,1,5,4,3.8,
StardewValley_TownSquare_VillageCenter.png,gaming,GPT-4V-CoT,CoT,5,5,1,5,4,4.2,
StardewValley_Winter_IceFishingContest.png,gaming,GPT-4V-CoT,CoT,4,4,1,5,4,3.8,
four_in_a_row-opp_move_1.png,gaming,GPT-4V-CoT,CoT,3,4,3,5,4,3.9,
four_in_a_row-opp_move_4.png,gaming,GPT-4V-CoT,CoT,2,4,2,4,3,3.1,
four_in_a_row-opp_won.png,gaming,GPT-4V-CoT,CoT,3,4,1,5,4,3.6,
tic_tac_toe-opp_move_1.png,gaming,GPT-4V-CoT,CoT,2,4,4,4,4,3.6,
tic_tac_toe-opp_move_2.png,gaming,GPT-4V-CoT,CoT,3,4,2,4,4,3.5,
tic_tac_toe-user_won.png,gaming,GPT-4V-CoT,CoT,3,4,3,5,4,3.9,
INDOOR_Navigation_AccessibilityRamp_EntryDoor_BrickFacade.jpg,indoor,GPT-4V-CoT,CoT,4,4,2,4,5,3.9,
INDOOR_Navigation_ArchwayEntrance_Staircase_Wayfinding.jpg,indoor,GPT-4V-CoT,CoT,5,4,1,5,5,4.2,
INDOOR_Navigation_BlindManWithCane_TactileSignage_Hallway.jpg,indoor,GPT-4V-CoT,CoT,4,4,3,4,5,4.0,
INDOOR_Navigation_CurvingStaircase_FoyerAccess_HardwoodFloor.jpg,indoor,GPT-4V-CoT,CoT,5,4,1,5,4,4.0,
INDOOR_Navigation_ElevatorLobby_LongHallway_MarbleFlooring.jpg,indoor,GPT-4V-CoT,CoT,5,4,2,5,5,4.3,
INDOOR_Navigation_LivingRoom_HallwayEntrance_MAINSTSign.jpg,indoor,GPT-4V-CoT,CoT,5,5,1,5,5,4.4,
INDOOR_Navigation_LongHallway_AccessPoints_ModernDesign.jpg,indoor,GPT-4V-CoT,CoT,5,5,2,5,4,4.3,
INDOOR_Navigation_OfficeLobby_HRSignage_GlassWalledHallway.jpg,indoor,GPT-4V-CoT,CoT,5,4,2,4,5,4.1,
INDOOR_Navigation_SensoryPath_HospitalClinic_FloorDecals.jpg,indoor,GPT-4V-CoT,CoT,4,5,1,5,5,4.2,
